F1,F2,F3,F4,F5,F6,F7,Q1,Q1S1,Q1S2_1,Q1S2_2,Q1S2_3,Q1S2_4,Q1S2_5,Q1S2_6,Q1S2_7,Q1S2_8,Q1S2_9,Q2,Q2S1,Q2S2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3
2,27,4,7,1,1,4,4,,,,,,,,,,1,8,,8,",,,,,,,1,",1,1,1,2,,3,
1,53,4,7,1,1,7,1,8,,,,,,,,,,2,2,,",,,,,,,,1",4,2,2,2,,,3
1,44,3,1,1,1,3,4,,,,,,,,,,1,8,,8,",,,,,,,1,",3,1,1,2,2,,
2,45,2,1,2,1,9,5,,,,,,,,,,,9,,,",,,,,,,,1",3,3,3,3,,1,
2,29,4,1,2,1,2,2,2,,,,,,,,,,2,2,,"1,,,,1,,,,",4,4,4,2,,3,
1,68,3,7,2,2,7,4,,,,,,1,,,,,6,2,,",,,,1,,,,",1,1,3,1,,,3
2,42,3,7,2,1,3,5,,,,,,,,,,,9,,,",,,,,,,,1",3,3,3,3,,5,
1,71,3,7,2,2,6,2,3,,,,,,,,,,8,,5,"1,1,1,,,,,,",2,2,2,2,1,,
2,49,4,1,1,1,1,3,,,,,,1,,1,,,8,,1,",,,,,,,1,",2,2,2,2,,1,
1,62,2,1,2,1,1,1,1,,,,,,,,,,1,2,,",1,1,,1,1,,,",3,3,3,3,,2,
1,40,4,7,1,2,2,1,2,,,,,,,,,,2,2,,",,,,,,,1,",4,3,4,4,,,4
2,58,2,9,2,1,6,1,2,,,,,,,,,,2,2,,",,,1,,,,,",5,2,2,2,,,4
1,35,2,3,2,1,6,1,9,,,,,,,,,,9,,,",,,,,,,,1",5,2,2,2,1,,
1,62,2,9,3,1,2,3,,,,,,,,,1,,2,2,,"1,,,,,,,,",4,3,1,2,1,,
2,58,4,6,2,1,3,2,3,,,,,,,,,,8,,3,"1,,,1,1,,,,",5,3,4,2,,2,
2,54,4,1,2,2,3,1,9,,,,,,,,,,9,,,",,,,,,,1,",5,3,3,2,,4,
1,50,4,1,1,2,3,4,,,,,1,,,,,,8,,9,",,,,,,,,1",5,5,5,5,,,3
1,51,4,9,2,1,8,1,1,,,,,,,,,,1,2,,",,,,,,,,",2,1,3,2,1,,
2,66,3,1,2,1,2,4,,,,,,1,1,,,,1,2,,",1,1,,,1,,,",4,4,5,2,,3,
1,41,4,7,1,1,2,2,2,,,,,,,,,,8,,8,"1,,,,1,,1,,",5,3,4,2,,,1
1,44,2,2,2,1,6,1,2,,,,,,,,,,9,,,",,,1,,,,,",5,5,5,2,,4,
2,37,2,1,2,2,2,1,2,,,,,,,,,,8,,8,",,,,,,,,1",2,2,3,3,,3,
2,67,3,6,2,1,9,2,1,,,,,,,,,,3,2,,",,,,,1,,,",4,2,2,2,1,,
1,67,2,1,2,2,3,1,1,,,,,,,,,,1,2,,",,,,1,1,,,",5,1,1,2,,5,
