Female,Age,Educ,Income,Satisficer,Turnout,Choice,Absent_1,Absent_2,Absent_3,Absent_4,Absent_5,Absent_6,Absent_7,Absent_8,Absent_9,PID,PID_s,n_Deny,Deny_A,Deny_B,Deny_C,Deny_D,Deny_E,Deny_F,Deny_G,Deny_H,Deny_I,Deny_Other,Efficacy_1,Efficacy_2,Efficacy_3,Efficacy,Group,List
1,18-29,4,4,0,0,NA,0,0,0,0,0,0,0,0,1,No PID,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,Treatment 1,3
0,50-59,4,6,0,1,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,Party B,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,3.3333333333333335,Treatment 2,3
0,40-49,3,3,0,0,NA,0,0,0,0,0,0,0,0,1,No PID,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4.333333333333333,Control,2
1,18-29,4,2,0,1,Ruling,NA,NA,NA,NA,NA,NA,NA,NA,NA,Party B,2,2,1,0,0,0,1,0,0,0,0,0,2,2,2,2,Treatment 1,3
0,60-69,3,6,1,0,NA,0,0,0,0,1,0,0,0,0,Party I,2,1,0,0,0,0,1,0,0,0,0,0,5,5,3,4.333333333333333,Treatment 2,3
0,70-,3,5,0,1,Opposition,NA,NA,NA,NA,NA,NA,NA,NA,NA,Party G,1,4,1,1,1,0,0,0,0,0,1,0,4,4,4,4,Control,1
1,40-49,4,1,0,0,NA,0,0,0,0,1,0,1,0,0,Party A,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,Treatment 1,1
0,60-69,2,1,1,1,Ruling,NA,NA,NA,NA,NA,NA,NA,NA,NA,Party A,2,6,0,1,1,0,1,1,1,1,0,0,3,3,3,3,Treatment 1,2
0,40-49,4,2,1,1,Ruling,NA,NA,NA,NA,NA,NA,NA,NA,NA,Party B,2,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2.3333333333333335,Treatment 2,4
1,50-59,2,5,0,1,Ruling,NA,NA,NA,NA,NA,NA,NA,NA,NA,Party B,2,3,0,0,0,1,0,0,0,1,1,0,1,4,4,3,Treatment 2,4
0,30-39,2,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,3,Control,1
0,60-69,2,2,0,0,NA,0,0,0,0,0,0,0,1,0,Party B,2,1,1,0,0,0,0,0,0,0,0,0,2,3,5,3.3333333333333335,Control,1
